Vds,Vgs,Ids,W,L,T
0.1,-20.0,7.5101e-12,1000,8,25
0.1,-19.8,7.5101e-12,1000,8,25
0.1,-19.6,7.5101e-12,1000,8,25
0.1,-19.4,7.5101e-12,1000,8,25
0.1,-19.2,7.5101e-12,1000,8,25
0.1,-19.0,7.5101e-12,1000,8,25
0.1,-18.8,7.5101e-12,1000,8,25
0.1,-18.6,7.5101e-12,1000,8,25
0.1,-18.4,7.5101e-12,1000,8,25
0.1,-18.2,7.5101e-12,1000,8,25
0.1,-18.0,7.5101e-12,1000,8,25
0.1,-17.8,7.5101e-12,1000,8,25
0.1,-17.6,7.5101e-12,1000,8,25
0.1,-17.4,7.5101e-12,1000,8,25
0.1,-17.2,7.5101e-12,1000,8,25
0.1,-17.0,7.5101e-12,1000,8,25
0.1,-16.8,7.5101e-12,1000,8,25
0.1,-16.6,7.5101e-12,1000,8,25
0.1,-16.4,7.5101e-12,1000,8,25
0.1,-16.2,7.5101e-12,1000,8,25
0.1,-16.0,7.5101e-12,1000,8,25
0.1,-15.8,7.5101e-12,1000,8,25
0.1,-15.6,7.5101e-12,1000,8,25
0.1,-15.4,7.5101e-12,1000,8,25
0.1,-15.2,7.5101e-12,1000,8,25
0.1,-15.0,7.5101e-12,1000,8,25
0.1,-14.8,7.5101e-12,1000,8,25
0.1,-14.6,7.5101e-12,1000,8,25
0.1,-14.4,7.5101e-12,1000,8,25
0.1,-14.2,7.5101e-12,1000,8,25
0.1,-14.0,7.5101e-12,1000,8,25
0.1,-13.8,7.5101e-12,1000,8,25
0.1,-13.6,7.5101e-12,1000,8,25
0.1,-13.4,7.5101e-12,1000,8,25
0.1,-13.2,7.5101e-12,1000,8,25
0.1,-13.0,7.5101e-12,1000,8,25
0.1,-12.8,7.5101e-12,1000,8,25
0.1,-12.6,7.5101e-12,1000,8,25
0.1,-12.4,7.5101e-12,1000,8,25
0.1,-12.2,7.5101e-12,1000,8,25
0.1,-12.0,7.5101e-12,1000,8,25
0.1,-11.8,7.5101e-12,1000,8,25
0.1,-11.6,7.5101e-12,1000,8,25
0.1,-11.4,7.5101e-12,1000,8,25
0.1,-11.2,7.5101e-12,1000,8,25
0.1,-11.0,7.5101e-12,1000,8,25
0.1,-10.8,7.5101e-12,1000,8,25
0.1,-10.6,7.5101e-12,1000,8,25
0.1,-10.4,7.5101e-12,1000,8,25
0.1,-10.2,7.5101e-12,1000,8,25
0.1,-10.0,7.5101e-12,1000,8,25
0.1,-9.8,7.5101e-12,1000,8,25
0.1,-9.6,7.5101e-12,1000,8,25
0.1,-9.4,7.5101e-12,1000,8,25
0.1,-9.2,7.5101e-12,1000,8,25
0.1,-9.0,7.5101e-12,1000,8,25
0.1,-8.8,7.5101e-12,1000,8,25
0.1,-8.6,7.5101e-12,1000,8,25
0.1,-8.4,7.5101e-12,1000,8,25
0.1,-8.2,7.5101e-12,1000,8,25
0.1,-8.0,7.5101e-12,1000,8,25
0.1,-7.8,7.5101e-12,1000,8,25
0.1,-7.6,7.5101e-12,1000,8,25
0.1,-7.4,7.5101e-12,1000,8,25
0.1,-7.2,7.5101e-12,1000,8,25
0.1,-7.0,7.5101e-12,1000,8,25
0.1,-6.8,7.5101e-12,1000,8,25
0.1,-6.6,7.5101e-12,1000,8,25
0.1,-6.4,7.5101e-12,1000,8,25
0.1,-6.2,7.5101e-12,1000,8,25
0.1,-6.0,7.5101e-12,1000,8,25
0.1,-5.8,7.5101e-12,1000,8,25
0.1,-5.6,7.5101e-12,1000,8,25
0.1,-5.4,7.5101e-12,1000,8,25
0.1,-5.2,7.5101e-12,1000,8,25
0.1,-5.0,7.5101e-12,1000,8,25
0.1,-4.8,7.5101e-12,1000,8,25
0.1,-4.6,7.5101e-12,1000,8,25
0.1,-4.4,7.5101e-12,1000,8,25
0.1,-4.2,7.5101e-12,1000,8,25
0.1,-4.0,7.5101e-12,1000,8,25
0.1,-3.8,7.5101e-12,1000,8,25
0.1,-3.6,7.5101e-12,1000,8,25
0.1,-3.4,7.5101e-12,1000,8,25
0.1,-3.2,7.5101e-12,1000,8,25
0.1,-3.0,7.5101e-12,1000,8,25
0.1,-2.8,7.5101e-12,1000,8,25
0.1,-2.6,7.5101e-12,1000,8,25
0.1,-2.4,7.5101e-12,1000,8,25
0.1,-2.2,7.5101e-12,1000,8,25
0.1,-2.0,7.5101e-12,1000,8,25
0.1,-1.8,7.5101e-12,1000,8,25
0.1,-1.6,7.5101e-12,1000,8,25
0.1,-1.4,7.5101e-12,1000,8,25
0.1,-1.2,7.5101e-12,1000,8,25
0.1,-1.0,7.5101e-12,1000,8,25
0.1,-0.8,7.5104e-12,1000,8,25
0.1,-0.6,7.5163e-12,1000,8,25
0.1,-0.4,7.6227e-12,1000,8,25
0.1,-0.2,9.5392e-12,1000,8,25
0.1,-3.7581e-14,4.4184e-11,1000,8,25
0.1,0.2,6.712e-10,1000,8,25
0.1,0.4,1.164e-08,1000,8,25
0.1,0.6,1.389e-07,1000,8,25
0.1,0.8,5.6059e-07,1000,8,25
0.1,1.0,1.1588e-06,1000,8,25
0.1,1.2,1.8828e-06,1000,8,25
0.1,1.4,2.7389e-06,1000,8,25
0.1,1.6,3.7354e-06,1000,8,25
0.1,1.8,4.8775e-06,1000,8,25
0.1,2.0,6.1672e-06,1000,8,25
0.1,2.2,7.6038e-06,1000,8,25
0.1,2.4,9.185e-06,1000,8,25
0.1,2.6,1.0907e-05,1000,8,25
0.1,2.8,1.2765e-05,1000,8,25
0.1,3.0,1.4754e-05,1000,8,25
0.1,3.2,1.6868e-05,1000,8,25
0.1,3.4,1.9101e-05,1000,8,25
0.1,3.6,2.1448e-05,1000,8,25
0.1,3.8,2.3902e-05,1000,8,25
0.1,4.0,2.6458e-05,1000,8,25
0.1,4.2,2.9111e-05,1000,8,25
0.1,4.4,3.1854e-05,1000,8,25
0.1,4.6,3.4682e-05,1000,8,25
0.1,4.8,3.759e-05,1000,8,25
0.1,5.0,4.0572e-05,1000,8,25
0.1,5.2,4.3625e-05,1000,8,25
