Vds,Vgs,Ids,W,L,T
0.1,-20.0,7.5101e-13,100,5,25
0.1,-19.8,7.5101e-13,100,5,25
0.1,-19.6,7.5101e-13,100,5,25
0.1,-19.4,7.5101e-13,100,5,25
0.1,-19.2,7.5101e-13,100,5,25
0.1,-19.0,7.5101e-13,100,5,25
0.1,-18.8,7.5101e-13,100,5,25
0.1,-18.6,7.5101e-13,100,5,25
0.1,-18.4,7.5101e-13,100,5,25
0.1,-18.2,7.5101e-13,100,5,25
0.1,-18.0,7.5101e-13,100,5,25
0.1,-17.8,7.5101e-13,100,5,25
0.1,-17.6,7.5101e-13,100,5,25
0.1,-17.4,7.5101e-13,100,5,25
0.1,-17.2,7.5101e-13,100,5,25
0.1,-17.0,7.5101e-13,100,5,25
0.1,-16.8,7.5101e-13,100,5,25
0.1,-16.6,7.5101e-13,100,5,25
0.1,-16.4,7.5101e-13,100,5,25
0.1,-16.2,7.5101e-13,100,5,25
0.1,-16.0,7.5101e-13,100,5,25
0.1,-15.8,7.5101e-13,100,5,25
0.1,-15.6,7.5101e-13,100,5,25
0.1,-15.4,7.5101e-13,100,5,25
0.1,-15.2,7.5101e-13,100,5,25
0.1,-15.0,7.5101e-13,100,5,25
0.1,-14.8,7.5101e-13,100,5,25
0.1,-14.6,7.5101e-13,100,5,25
0.1,-14.4,7.5101e-13,100,5,25
0.1,-14.2,7.5101e-13,100,5,25
0.1,-14.0,7.5101e-13,100,5,25
0.1,-13.8,7.5101e-13,100,5,25
0.1,-13.6,7.5101e-13,100,5,25
0.1,-13.4,7.5101e-13,100,5,25
0.1,-13.2,7.5101e-13,100,5,25
0.1,-13.0,7.5101e-13,100,5,25
0.1,-12.8,7.5101e-13,100,5,25
0.1,-12.6,7.5101e-13,100,5,25
0.1,-12.4,7.5101e-13,100,5,25
0.1,-12.2,7.5101e-13,100,5,25
0.1,-12.0,7.5101e-13,100,5,25
0.1,-11.8,7.5101e-13,100,5,25
0.1,-11.6,7.5101e-13,100,5,25
0.1,-11.4,7.5101e-13,100,5,25
0.1,-11.2,7.5101e-13,100,5,25
0.1,-11.0,7.5101e-13,100,5,25
0.1,-10.8,7.5101e-13,100,5,25
0.1,-10.6,7.5101e-13,100,5,25
0.1,-10.4,7.5101e-13,100,5,25
0.1,-10.2,7.5101e-13,100,5,25
0.1,-10.0,7.5101e-13,100,5,25
0.1,-9.8,7.5101e-13,100,5,25
0.1,-9.6,7.5101e-13,100,5,25
0.1,-9.4,7.5101e-13,100,5,25
0.1,-9.2,7.5101e-13,100,5,25
0.1,-9.0,7.5101e-13,100,5,25
