Vds,Vgs,Ids,W,L,T
0.1,-20.0,4.7123e-14,50,12,0
0.1,-19.8,4.7123e-14,50,12,0
0.1,-19.6,4.7123e-14,50,12,0
0.1,-19.4,4.7123e-14,50,12,0
0.1,-19.2,4.7123e-14,50,12,0
0.1,-19.0,4.7123e-14,50,12,0
0.1,-18.8,4.7123e-14,50,12,0
0.1,-18.6,4.7123e-14,50,12,0
0.1,-18.4,4.7123e-14,50,12,0
0.1,-18.2,4.7123e-14,50,12,0
0.1,-18.0,4.7123e-14,50,12,0
0.1,-17.8,4.7123e-14,50,12,0
0.1,-17.6,4.7123e-14,50,12,0
0.1,-17.4,4.7123e-14,50,12,0
0.1,-17.2,4.7123e-14,50,12,0
0.1,-17.0,4.7123e-14,50,12,0
0.1,-16.8,4.7123e-14,50,12,0
0.1,-16.6,4.7123e-14,50,12,0
0.1,-16.4,4.7123e-14,50,12,0
0.1,-16.2,4.7123e-14,50,12,0
0.1,-16.0,4.7123e-14,50,12,0
0.1,-15.8,4.7123e-14,50,12,0
0.1,-15.6,4.7123e-14,50,12,0
0.1,-15.4,4.7123e-14,50,12,0
0.1,-15.2,4.7123e-14,50,12,0
0.1,-15.0,4.7123e-14,50,12,0
0.1,-14.8,4.7123e-14,50,12,0
0.1,-14.6,4.7123e-14,50,12,0
0.1,-14.4,4.7123e-14,50,12,0
0.1,-14.2,4.7123e-14,50,12,0
0.1,-14.0,4.7123e-14,50,12,0
0.1,-13.8,4.7123e-14,50,12,0
0.1,-13.6,4.7123e-14,50,12,0
0.1,-13.4,4.7123e-14,50,12,0
0.1,-13.2,4.7123e-14,50,12,0
0.1,-13.0,4.7123e-14,50,12,0
0.1,-12.8,4.7123e-14,50,12,0
0.1,-12.6,4.7123e-14,50,12,0
0.1,-12.4,4.7123e-14,50,12,0
0.1,-12.2,4.7123e-14,50,12,0
0.1,-12.0,4.7123e-14,50,12,0
0.1,-11.8,4.7123e-14,50,12,0
0.1,-11.6,4.7123e-14,50,12,0
0.1,-11.4,4.7123e-14,50,12,0
0.1,-11.2,4.7123e-14,50,12,0
0.1,-11.0,4.7123e-14,50,12,0
0.1,-10.8,4.7123e-14,50,12,0
0.1,-10.6,4.7123e-14,50,12,0
0.1,-10.4,4.7123e-14,50,12,0
0.1,-10.2,4.7123e-14,50,12,0
0.1,-10.0,4.7123e-14,50,12,0
0.1,-9.8,4.7123e-14,50,12,0
0.1,-9.6,4.7123e-14,50,12,0
0.1,-9.4,4.7123e-14,50,12,0
0.1,-9.2,4.7123e-14,50,12,0
0.1,-9.0,4.7123e-14,50,12,0
0.1,-8.8,4.7123e-14,50,12,0
0.1,-8.6,4.7123e-14,50,12,0
0.1,-8.4,4.7123e-14,50,12,0
0.1,-8.2,4.7123e-14,50,12,0
0.1,-8.0,4.7123e-14,50,12,0
0.1,-7.8,4.7123e-14,50,12,0
0.1,-7.6,4.7123e-14,50,12,0
0.1,-7.4,4.7123e-14,50,12,0
0.1,-7.2,4.7123e-14,50,12,0
0.1,-7.0,4.7123e-14,50,12,0
0.1,-6.8,4.7123e-14,50,12,0
0.1,-6.6,4.7123e-14,50,12,0
0.1,-6.4,4.7123e-14,50,12,0
0.1,-6.2,4.7123e-14,50,12,0
0.1,-6.0,4.7123e-14,50,12,0
0.1,-5.8,4.7123e-14,50,12,0
0.1,-5.6,4.7123e-14,50,12,0
0.1,-5.4,4.7123e-14,50,12,0
0.1,-5.2,4.7123e-14,50,12,0
0.1,-5.0,4.7123e-14,50,12,0
0.1,-4.8,4.7123e-14,50,12,0
0.1,-4.6,4.7123e-14,50,12,0
0.1,-4.4,4.7123e-14,50,12,0
0.1,-4.2,4.7123e-14,50,12,0
0.1,-4.0,4.7123e-14,50,12,0
0.1,-3.8,4.7123e-14,50,12,0
0.1,-3.6,4.7123e-14,50,12,0
0.1,-3.4,4.7123e-14,50,12,0
0.1,-3.2,4.7123e-14,50,12,0
0.1,-3.0,4.7123e-14,50,12,0
