Vds,Vgs,Ids,W,L,T
0.1,-20.0,2.5495e-10,1000,10,80
0.1,-19.8,2.5495e-10,1000,10,80
0.1,-19.6,2.5495e-10,1000,10,80
0.1,-19.4,2.5495e-10,1000,10,80
0.1,-19.2,2.5495e-10,1000,10,80
0.1,-19.0,2.5495e-10,1000,10,80
0.1,-18.8,2.5495e-10,1000,10,80
0.1,-18.6,2.5495e-10,1000,10,80
0.1,-18.4,2.5495e-10,1000,10,80
0.1,-18.2,2.5495e-10,1000,10,80
0.1,-18.0,2.5495e-10,1000,10,80
0.1,-17.8,2.5495e-10,1000,10,80
0.1,-17.6,2.5495e-10,1000,10,80
0.1,-17.4,2.5495e-10,1000,10,80
0.1,-17.2,2.5495e-10,1000,10,80
0.1,-17.0,2.5495e-10,1000,10,80
0.1,-16.8,2.5495e-10,1000,10,80
0.1,-16.6,2.5495e-10,1000,10,80
0.1,-16.4,2.5495e-10,1000,10,80
0.1,-16.2,2.5495e-10,1000,10,80
0.1,-16.0,2.5495e-10,1000,10,80
0.1,-15.8,2.5495e-10,1000,10,80
0.1,-15.6,2.5495e-10,1000,10,80
0.1,-15.4,2.5495e-10,1000,10,80
0.1,-15.2,2.5495e-10,1000,10,80
0.1,-15.0,2.5495e-10,1000,10,80
0.1,-14.8,2.5495e-10,1000,10,80
0.1,-14.6,2.5495e-10,1000,10,80
0.1,-14.4,2.5495e-10,1000,10,80
0.1,-14.2,2.5495e-10,1000,10,80
0.1,-14.0,2.5495e-10,1000,10,80
0.1,-13.8,2.5495e-10,1000,10,80
0.1,-13.6,2.5495e-10,1000,10,80
0.1,-13.4,2.5495e-10,1000,10,80
0.1,-13.2,2.5495e-10,1000,10,80
0.1,-13.0,2.5495e-10,1000,10,80
0.1,-12.8,2.5495e-10,1000,10,80
0.1,-12.6,2.5495e-10,1000,10,80
0.1,-12.4,2.5495e-10,1000,10,80
0.1,-12.2,2.5495e-10,1000,10,80
0.1,-12.0,2.5495e-10,1000,10,80
0.1,-11.8,2.5495e-10,1000,10,80
0.1,-11.6,2.5495e-10,1000,10,80
0.1,-11.4,2.5495e-10,1000,10,80
0.1,-11.2,2.5495e-10,1000,10,80
0.1,-11.0,2.5495e-10,1000,10,80
0.1,-10.8,2.5495e-10,1000,10,80
0.1,-10.6,2.5495e-10,1000,10,80
0.1,-10.4,2.5495e-10,1000,10,80
0.1,-10.2,2.5495e-10,1000,10,80
0.1,-10.0,2.5495e-10,1000,10,80
0.1,-9.8,2.5495e-10,1000,10,80
0.1,-9.6,2.5495e-10,1000,10,80
0.1,-9.4,2.5495e-10,1000,10,80
0.1,-9.2,2.5495e-10,1000,10,80
0.1,-9.0,2.5495e-10,1000,10,80
0.1,-8.8,2.5495e-10,1000,10,80
0.1,-8.6,2.5495e-10,1000,10,80
0.1,-8.4,2.5495e-10,1000,10,80
0.1,-8.2,2.5495e-10,1000,10,80
0.1,-8.0,2.5495e-10,1000,10,80
0.1,-7.8,2.5495e-10,1000,10,80
0.1,-7.6,2.5495e-10,1000,10,80
0.1,-7.4,2.5495e-10,1000,10,80
0.1,-7.2,2.5495e-10,1000,10,80
0.1,-7.0,2.5495e-10,1000,10,80
0.1,-6.8,2.5495e-10,1000,10,80
0.1,-6.6,2.5495e-10,1000,10,80
0.1,-6.4,2.5495e-10,1000,10,80
0.1,-6.2,2.5495e-10,1000,10,80
0.1,-6.0,2.5495e-10,1000,10,80
0.1,-5.8,2.5495e-10,1000,10,80
0.1,-5.6,2.5495e-10,1000,10,80
0.1,-5.4,2.5495e-10,1000,10,80
0.1,-5.2,2.5495e-10,1000,10,80
0.1,-5.0,2.5495e-10,1000,10,80
0.1,-4.8,2.5495e-10,1000,10,80
0.1,-4.6,2.5495e-10,1000,10,80
0.1,-4.4,2.5495e-10,1000,10,80
0.1,-4.2,2.5495e-10,1000,10,80
0.1,-4.0,2.5495e-10,1000,10,80
0.1,-3.8,2.5495e-10,1000,10,80
0.1,-3.6,2.5495e-10,1000,10,80
0.1,-3.4,2.5495e-10,1000,10,80
0.1,-3.2,2.5495e-10,1000,10,80
0.1,-3.0,2.5495e-10,1000,10,80
0.1,-2.8,2.5495e-10,1000,10,80
0.1,-2.6,2.5495e-10,1000,10,80
0.1,-2.4,2.5495e-10,1000,10,80
0.1,-2.2,2.5495e-10,1000,10,80
0.1,-2.0,2.5495e-10,1000,10,80
0.1,-1.8,2.5495e-10,1000,10,80
0.1,-1.6,2.5495e-10,1000,10,80
0.1,-1.4,2.5495e-10,1000,10,80
0.1,-1.2,2.5495e-10,1000,10,80
0.1,-1.0,2.5495e-10,1000,10,80
0.1,-0.8,2.5495e-10,1000,10,80
0.1,-0.6,2.5499e-10,1000,10,80
0.1,-0.4,2.5547e-10,1000,10,80
0.1,-0.2,2.6106e-10,1000,10,80
0.1,-3.7581e-14,3.261e-10,1000,10,80
0.1,0.2,1.0834e-09,1000,10,80
0.1,0.4,9.6566e-09,1000,10,80
0.1,0.6,8.4933e-08,1000,10,80
0.1,0.8,3.596e-07,1000,10,80
0.1,1.0,7.8861e-07,1000,10,80
0.1,1.2,1.3069e-06,1000,10,80
0.1,1.4,1.9096e-06,1000,10,80
0.1,1.6,2.6019e-06,1000,10,80
0.1,1.8,3.3884e-06,1000,10,80
0.1,2.0,4.272e-06,1000,10,80
0.1,2.2,5.2539e-06,1000,10,80
0.1,2.4,6.3341e-06,1000,10,80
0.1,2.6,7.5115e-06,1000,10,80
0.1,2.8,8.7844e-06,1000,10,80
0.1,3.0,1.015e-05,1000,10,80
0.1,3.2,1.1606e-05,1000,10,80
0.1,3.4,1.3149e-05,1000,10,80
0.1,3.6,1.4776e-05,1000,10,80
0.1,3.8,1.6482e-05,1000,10,80
0.1,4.0,1.8266e-05,1000,10,80
0.1,4.2,2.0123e-05,1000,10,80
0.1,4.4,2.2049e-05,1000,10,80
0.1,4.6,2.4042e-05,1000,10,80
0.1,4.8,2.6097e-05,1000,10,80
0.1,5.0,2.8212e-05,1000,10,80
0.1,5.2,3.0383e-05,1000,10,80
0.1,5.4,3.2607e-05,1000,10,80
0.1,5.6,3.488e-05,1000,10,80
0.1,5.8,3.7201e-05,1000,10,80
0.1,6.0,3.9565e-05,1000,10,80
0.1,6.2,4.197e-05,1000,10,80
0.1,6.4,4.4413e-05,1000,10,80
0.1,6.6,4.6892e-05,1000,10,80
0.1,6.8,4.9403e-05,1000,10,80
0.1,7.0,5.1945e-05,1000,10,80
0.1,7.2,5.4515e-05,1000,10,80
0.1,7.4,5.7112e-05,1000,10,80
0.1,7.6,5.9731e-05,1000,10,80
0.1,7.8,6.2373e-05,1000,10,80
0.1,8.0,6.5034e-05,1000,10,80
0.1,8.2,6.7713e-05,1000,10,80
0.1,8.4,7.0408e-05,1000,10,80
0.1,8.6,7.3117e-05,1000,10,80
0.1,8.8,7.5839e-05,1000,10,80
0.1,9.0,7.8573e-05,1000,10,80
0.1,9.2,8.1316e-05,1000,10,80
0.1,9.4,8.4067e-05,1000,10,80
0.1,9.6,8.6826e-05,1000,10,80
0.1,9.8,8.959e-05,1000,10,80
0.1,10.0,9.2359e-05,1000,10,80
0.1,10.2,9.5132e-05,1000,10,80
0.1,10.4,9.7907e-05,1000,10,80
0.1,10.6,0.00010068,1000,10,80
0.1,10.8,0.00010346,1000,10,80
0.1,11.0,0.00010624,1000,10,80
0.1,11.2,0.00010902,1000,10,80
0.1,11.4,0.00011179,1000,10,80
0.1,11.6,0.00011456,1000,10,80
0.1,11.8,0.00011733,1000,10,80
0.1,12.0,0.0001201,1000,10,80
0.1,12.2,0.00012286,1000,10,80
0.1,12.4,0.00012561,1000,10,80
0.1,12.6,0.00012836,1000,10,80
0.1,12.8,0.0001311,1000,10,80
0.1,13.0,0.00013384,1000,10,80
0.1,13.2,0.00013657,1000,10,80
0.1,13.4,0.00013929,1000,10,80
0.1,13.6,0.00014201,1000,10,80
0.1,13.8,0.00014471,1000,10,80
0.1,14.0,0.00014741,1000,10,80
0.1,14.2,0.0001501,1000,10,80
0.1,14.4,0.00015278,1000,10,80
0.1,14.6,0.00015545,1000,10,80
0.1,14.8,0.00015811,1000,10,80
0.1,15.0,0.00016076,1000,10,80
0.1,15.2,0.0001634,1000,10,80
0.1,15.4,0.00016603,1000,10,80
0.1,15.6,0.00016865,1000,10,80
0.1,15.8,0.00017126,1000,10,80
0.1,16.0,0.00017385,1000,10,80
0.1,16.2,0.00017644,1000,10,80
0.1,16.4,0.00017901,1000,10,80
0.1,16.6,0.00018158,1000,10,80
0.1,16.8,0.00018413,1000,10,80
0.1,17.0,0.00018667,1000,10,80
0.1,17.2,0.0001892,1000,10,80
0.1,17.4,0.00019172,1000,10,80
0.1,17.6,0.00019422,1000,10,80
0.1,17.8,0.00019671,1000,10,80
0.1,18.0,0.0001992,1000,10,80
0.1,18.2,0.00020167,1000,10,80
0.1,18.4,0.00020412,1000,10,80
0.1,18.6,0.00020657,1000,10,80
0.1,18.8,0.000209,1000,10,80
0.1,19.0,0.00021142,1000,10,80
0.1,19.2,0.00021383,1000,10,80
0.1,19.4,0.00021623,1000,10,80
0.1,19.6,0.00021861,1000,10,80
0.1,19.8,0.00022098,1000,10,80
0.1,20.0,0.00022334,1000,10,80
1,-20.0,2.6485e-10,1000,10,80
1,-19.8,2.6485e-10,1000,10,80
1,-19.6,2.6485e-10,1000,10,80
1,-19.4,2.6485e-10,1000,10,80
1,-19.2,2.6485e-10,1000,10,80
1,-19.0,2.6485e-10,1000,10,80
1,-18.8,2.6485e-10,1000,10,80
1,-18.6,2.6485e-10,1000,10,80
1,-18.4,2.6485e-10,1000,10,80
1,-18.2,2.6485e-10,1000,10,80
1,-18.0,2.6485e-10,1000,10,80
1,-17.8,2.6485e-10,1000,10,80
1,-17.6,2.6485e-10,1000,10,80
1,-17.4,2.6485e-10,1000,10,80
1,-17.2,2.6485e-10,1000,10,80
1,-17.0,2.6485e-10,1000,10,80
1,-16.8,2.6485e-10,1000,10,80
1,-16.6,2.6485e-10,1000,10,80
1,-16.4,2.6485e-10,1000,10,80
1,-16.2,2.6485e-10,1000,10,80
1,-16.0,2.6485e-10,1000,10,80
1,-15.8,2.6485e-10,1000,10,80
1,-15.6,2.6485e-10,1000,10,80
1,-15.4,2.6485e-10,1000,10,80
1,-15.2,2.6485e-10,1000,10,80
1,-15.0,2.6485e-10,1000,10,80
1,-14.8,2.6485e-10,1000,10,80
1,-14.6,2.6485e-10,1000,10,80
1,-14.4,2.6485e-10,1000,10,80
1,-14.2,2.6485e-10,1000,10,80
1,-14.0,2.6485e-10,1000,10,80
1,-13.8,2.6485e-10,1000,10,80
1,-13.6,2.6485e-10,1000,10,80
1,-13.4,2.6485e-10,1000,10,80
1,-13.2,2.6485e-10,1000,10,80
1,-13.0,2.6485e-10,1000,10,80
1,-12.8,2.6485e-10,1000,10,80
1,-12.6,2.6485e-10,1000,10,80
1,-12.4,2.6485e-10,1000,10,80
1,-12.2,2.6485e-10,1000,10,80
1,-12.0,2.6485e-10,1000,10,80
1,-11.8,2.6485e-10,1000,10,80
1,-11.6,2.6485e-10,1000,10,80
1,-11.4,2.6485e-10,1000,10,80
1,-11.2,2.6485e-10,1000,10,80
1,-11.0,2.6485e-10,1000,10,80
1,-10.8,2.6485e-10,1000,10,80
1,-10.6,2.6485e-10,1000,10,80
1,-10.4,2.6485e-10,1000,10,80
1,-10.2,2.6485e-10,1000,10,80
1,-10.0,2.6485e-10,1000,10,80
1,-9.8,2.6485e-10,1000,10,80
1,-9.6,2.6485e-10,1000,10,80
1,-9.4,2.6485e-10,1000,10,80
1,-9.2,2.6485e-10,1000,10,80
1,-9.0,2.6485e-10,1000,10,80
1,-8.8,2.6485e-10,1000,10,80
1,-8.6,2.6485e-10,1000,10,80
1,-8.4,2.6485e-10,1000,10,80
1,-8.2,2.6485e-10,1000,10,80
1,-8.0,2.6485e-10,1000,10,80
1,-7.8,2.6485e-10,1000,10,80
1,-7.6,2.6485e-10,1000,10,80
1,-7.4,2.6485e-10,1000,10,80
1,-7.2,2.6485e-10,1000,10,80
1,-7.0,2.6485e-10,1000,10,80
1,-6.8,2.6485e-10,1000,10,80
1,-6.6,2.6485e-10,1000,10,80
1,-6.4,2.6485e-10,1000,10,80
1,-6.2,2.6485e-10,1000,10,80
1,-6.0,2.6485e-10,1000,10,80
1,-5.8,2.6485e-10,1000,10,80
1,-5.6,2.6485e-10,1000,10,80
1,-5.4,2.6485e-10,1000,10,80
1,-5.2,2.6485e-10,1000,10,80
1,-5.0,2.6485e-10,1000,10,80
1,-4.8,2.6485e-10,1000,10,80
1,-4.6,2.6485e-10,1000,10,80
1,-4.4,2.6485e-10,1000,10,80
1,-4.2,2.6485e-10,1000,10,80
1,-4.0,2.6485e-10,1000,10,80
1,-3.8,2.6485e-10,1000,10,80
1,-3.6,2.6485e-10,1000,10,80
1,-3.4,2.6485e-10,1000,10,80
1,-3.2,2.6485e-10,1000,10,80
1,-3.0,2.6485e-10,1000,10,80
1,-2.8,2.6485e-10,1000,10,80
1,-2.6,2.6485e-10,1000,10,80
1,-2.4,2.6485e-10,1000,10,80
1,-2.2,2.6485e-10,1000,10,80
1,-2.0,2.6485e-10,1000,10,80
1,-1.8,2.6485e-10,1000,10,80
1,-1.6,2.6485e-10,1000,10,80
1,-1.4,2.6485e-10,1000,10,80
1,-1.2,2.6485e-10,1000,10,80
1,-1.0,2.6485e-10,1000,10,80
1,-0.8,2.6486e-10,1000,10,80
1,-0.6,2.6497e-10,1000,10,80
