Vds,Vgs,Ids,W,L,T
0.1,-20.0,7.5101e-12,1000,10,25
0.1,-19.8,7.5101e-12,1000,10,25
0.1,-19.6,7.5101e-12,1000,10,25
0.1,-19.4,7.5101e-12,1000,10,25
0.1,-19.2,7.5101e-12,1000,10,25
0.1,-19.0,7.5101e-12,1000,10,25
0.1,-18.8,7.5101e-12,1000,10,25
0.1,-18.6,7.5101e-12,1000,10,25
0.1,-18.4,7.5101e-12,1000,10,25
0.1,-18.2,7.5101e-12,1000,10,25
0.1,-18.0,7.5101e-12,1000,10,25
0.1,-17.8,7.5101e-12,1000,10,25
0.1,-17.6,7.5101e-12,1000,10,25
0.1,-17.4,7.5101e-12,1000,10,25
0.1,-17.2,7.5101e-12,1000,10,25
0.1,-17.0,7.5101e-12,1000,10,25
0.1,-16.8,7.5101e-12,1000,10,25
0.1,-16.6,7.5101e-12,1000,10,25
0.1,-16.4,7.5101e-12,1000,10,25
0.1,-16.2,7.5101e-12,1000,10,25
0.1,-16.0,7.5101e-12,1000,10,25
0.1,-15.8,7.5101e-12,1000,10,25
0.1,-15.6,7.5101e-12,1000,10,25
0.1,-15.4,7.5101e-12,1000,10,25
0.1,-15.2,7.5101e-12,1000,10,25
0.1,-15.0,7.5101e-12,1000,10,25
0.1,-14.8,7.5101e-12,1000,10,25
0.1,-14.6,7.5101e-12,1000,10,25
0.1,-14.4,7.5101e-12,1000,10,25
0.1,-14.2,7.5101e-12,1000,10,25
0.1,-14.0,7.5101e-12,1000,10,25
0.1,-13.8,7.5101e-12,1000,10,25
0.1,-13.6,7.5101e-12,1000,10,25
0.1,-13.4,7.5101e-12,1000,10,25
0.1,-13.2,7.5101e-12,1000,10,25
0.1,-13.0,7.5101e-12,1000,10,25
0.1,-12.8,7.5101e-12,1000,10,25
0.1,-12.6,7.5101e-12,1000,10,25
0.1,-12.4,7.5101e-12,1000,10,25
0.1,-12.2,7.5101e-12,1000,10,25
0.1,-12.0,7.5101e-12,1000,10,25
0.1,-11.8,7.5101e-12,1000,10,25
0.1,-11.6,7.5101e-12,1000,10,25
0.1,-11.4,7.5101e-12,1000,10,25
0.1,-11.2,7.5101e-12,1000,10,25
0.1,-11.0,7.5101e-12,1000,10,25
0.1,-10.8,7.5101e-12,1000,10,25
0.1,-10.6,7.5101e-12,1000,10,25
0.1,-10.4,7.5101e-12,1000,10,25
0.1,-10.2,7.5101e-12,1000,10,25
0.1,-10.0,7.5101e-12,1000,10,25
0.1,-9.8,7.5101e-12,1000,10,25
0.1,-9.6,7.5101e-12,1000,10,25
0.1,-9.4,7.5101e-12,1000,10,25
0.1,-9.2,7.5101e-12,1000,10,25
0.1,-9.0,7.5101e-12,1000,10,25
0.1,-8.8,7.5101e-12,1000,10,25
0.1,-8.6,7.5101e-12,1000,10,25
0.1,-8.4,7.5101e-12,1000,10,25
0.1,-8.2,7.5101e-12,1000,10,25
0.1,-8.0,7.5101e-12,1000,10,25
0.1,-7.8,7.5101e-12,1000,10,25
0.1,-7.6,7.5101e-12,1000,10,25
0.1,-7.4,7.5101e-12,1000,10,25
0.1,-7.2,7.5101e-12,1000,10,25
0.1,-7.0,7.5101e-12,1000,10,25
0.1,-6.8,7.5101e-12,1000,10,25
0.1,-6.6,7.5101e-12,1000,10,25
0.1,-6.4,7.5101e-12,1000,10,25
0.1,-6.2,7.5101e-12,1000,10,25
0.1,-6.0,7.5101e-12,1000,10,25
0.1,-5.8,7.5101e-12,1000,10,25
0.1,-5.6,7.5101e-12,1000,10,25
0.1,-5.4,7.5101e-12,1000,10,25
0.1,-5.2,7.5101e-12,1000,10,25
0.1,-5.0,7.5101e-12,1000,10,25
0.1,-4.8,7.5101e-12,1000,10,25
0.1,-4.6,7.5101e-12,1000,10,25
0.1,-4.4,7.5101e-12,1000,10,25
0.1,-4.2,7.5101e-12,1000,10,25
0.1,-4.0,7.5101e-12,1000,10,25
0.1,-3.8,7.5101e-12,1000,10,25
0.1,-3.6,7.5101e-12,1000,10,25
0.1,-3.4,7.5101e-12,1000,10,25
0.1,-3.2,7.5101e-12,1000,10,25
0.1,-3.0,7.5101e-12,1000,10,25
0.1,-2.8,7.5101e-12,1000,10,25
0.1,-2.6,7.5101e-12,1000,10,25
0.1,-2.4,7.5101e-12,1000,10,25
0.1,-2.2,7.5101e-12,1000,10,25
0.1,-2.0,7.5101e-12,1000,10,25
0.1,-1.8,7.5101e-12,1000,10,25
0.1,-1.6,7.5101e-12,1000,10,25
0.1,-1.4,7.5101e-12,1000,10,25
0.1,-1.2,7.5101e-12,1000,10,25
0.1,-1.0,7.5101e-12,1000,10,25
0.1,-0.8,7.5102e-12,1000,10,25
0.1,-0.6,7.5128e-12,1000,10,25
0.1,-0.4,7.5601e-12,1000,10,25
0.1,-0.2,8.4211e-12,1000,10,25
0.1,-3.7581e-14,2.4174e-11,1000,10,25
0.1,0.2,3.1324e-10,1000,10,25
0.1,0.4,5.5202e-09,1000,10,25
0.1,0.6,7.6042e-08,1000,10,25
0.1,0.8,3.7465e-07,1000,10,25
0.1,1.0,8.3487e-07,1000,10,25
0.1,1.2,1.3974e-06,1000,10,25
0.1,1.4,2.065e-06,1000,10,25
0.1,1.6,2.845e-06,1000,10,25
0.1,1.8,3.7418e-06,1000,10,25
0.1,2.0,4.7575e-06,1000,10,25
0.1,2.2,5.8918e-06,1000,10,25
0.1,2.4,7.143e-06,1000,10,25
0.1,2.6,8.5079e-06,1000,10,25
0.1,2.8,9.9829e-06,1000,10,25
0.1,3.0,1.1564e-05,1000,10,25
0.1,3.2,1.3246e-05,1000,10,25
0.1,3.4,1.5024e-05,1000,10,25
0.1,3.6,1.6893e-05,1000,10,25
0.1,3.8,1.885e-05,1000,10,25
0.1,4.0,2.0888e-05,1000,10,25
0.1,4.2,2.3003e-05,1000,10,25
0.1,4.4,2.5191e-05,1000,10,25
0.1,4.6,2.7448e-05,1000,10,25
0.1,4.8,2.9767e-05,1000,10,25
0.1,5.0,3.2147e-05,1000,10,25
0.1,5.2,3.4582e-05,1000,10,25
0.1,5.4,3.7069e-05,1000,10,25
0.1,5.6,3.9604e-05,1000,10,25
0.1,5.8,4.2184e-05,1000,10,25
0.1,6.0,4.4804e-05,1000,10,25
0.1,6.2,4.7463e-05,1000,10,25
0.1,6.4,5.0156e-05,1000,10,25
0.1,6.6,5.2881e-05,1000,10,25
0.1,6.8,5.5635e-05,1000,10,25
0.1,7.0,5.8415e-05,1000,10,25
0.1,7.2,6.1218e-05,1000,10,25
0.1,7.4,6.4043e-05,1000,10,25
0.1,7.6,6.6887e-05,1000,10,25
0.1,7.8,6.9748e-05,1000,10,25
0.1,8.0,7.2623e-05,1000,10,25
0.1,8.2,7.5512e-05,1000,10,25
0.1,8.4,7.8411e-05,1000,10,25
0.1,8.6,8.1319e-05,1000,10,25
0.1,8.8,8.4236e-05,1000,10,25
0.1,9.0,8.7158e-05,1000,10,25
0.1,9.2,9.0085e-05,1000,10,25
0.1,9.4,9.3015e-05,1000,10,25
0.1,9.6,9.5948e-05,1000,10,25
0.1,9.8,9.8881e-05,1000,10,25
0.1,10.0,0.00010181,1000,10,25
0.1,10.2,0.00010475,1000,10,25
0.1,10.4,0.00010768,1000,10,25
0.1,10.6,0.0001106,1000,10,25
0.1,10.8,0.00011353,1000,10,25
0.1,11.0,0.00011644,1000,10,25
0.1,11.2,0.00011936,1000,10,25
0.1,11.4,0.00012226,1000,10,25
0.1,11.6,0.00012516,1000,10,25
0.1,11.8,0.00012805,1000,10,25
0.1,12.0,0.00013094,1000,10,25
0.1,12.2,0.00013381,1000,10,25
0.1,12.4,0.00013668,1000,10,25
0.1,12.6,0.00013954,1000,10,25
0.1,12.8,0.00014238,1000,10,25
0.1,13.0,0.00014522,1000,10,25
0.1,13.2,0.00014804,1000,10,25
0.1,13.4,0.00015086,1000,10,25
0.1,13.6,0.00015366,1000,10,25
0.1,13.8,0.00015646,1000,10,25
0.1,14.0,0.00015924,1000,10,25
0.1,14.2,0.000162,1000,10,25
0.1,14.4,0.00016476,1000,10,25
0.1,14.6,0.0001675,1000,10,25
0.1,14.8,0.00017023,1000,10,25
0.1,15.0,0.00017295,1000,10,25
0.1,15.2,0.00017566,1000,10,25
0.1,15.4,0.00017835,1000,10,25
0.1,15.6,0.00018103,1000,10,25
0.1,15.8,0.00018369,1000,10,25
0.1,16.0,0.00018634,1000,10,25
0.1,16.2,0.00018898,1000,10,25
0.1,16.4,0.00019161,1000,10,25
0.1,16.6,0.00019422,1000,10,25
0.1,16.8,0.00019682,1000,10,25
0.1,17.0,0.0001994,1000,10,25
0.1,17.2,0.00020197,1000,10,25
0.1,17.4,0.00020452,1000,10,25
0.1,17.6,0.00020707,1000,10,25
0.1,17.8,0.00020959,1000,10,25
0.1,18.0,0.00021211,1000,10,25
0.1,18.2,0.00021461,1000,10,25
0.1,18.4,0.0002171,1000,10,25
0.1,18.6,0.00021957,1000,10,25
0.1,18.8,0.00022203,1000,10,25
0.1,19.0,0.00022447,1000,10,25
0.1,19.2,0.00022691,1000,10,25
0.1,19.4,0.00022932,1000,10,25
0.1,19.6,0.00023173,1000,10,25
0.1,19.8,0.00023412,1000,10,25
0.1,20.0,0.0002365,1000,10,25
1,-20.0,7.6665e-12,1000,10,25
1,-19.8,7.6665e-12,1000,10,25
1,-19.6,7.6665e-12,1000,10,25
1,-19.4,7.6665e-12,1000,10,25
1,-19.2,7.6665e-12,1000,10,25
1,-19.0,7.6665e-12,1000,10,25
1,-18.8,7.6665e-12,1000,10,25
1,-18.6,7.6665e-12,1000,10,25
1,-18.4,7.6665e-12,1000,10,25
1,-18.2,7.6665e-12,1000,10,25
1,-18.0,7.6665e-12,1000,10,25
1,-17.8,7.6665e-12,1000,10,25
1,-17.6,7.6665e-12,1000,10,25
1,-17.4,7.6665e-12,1000,10,25
1,-17.2,7.6665e-12,1000,10,25
1,-17.0,7.6665e-12,1000,10,25
1,-16.8,7.6665e-12,1000,10,25
1,-16.6,7.6665e-12,1000,10,25
1,-16.4,7.6665e-12,1000,10,25
1,-16.2,7.6665e-12,1000,10,25
1,-16.0,7.6665e-12,1000,10,25
1,-15.8,7.6665e-12,1000,10,25
1,-15.6,7.6665e-12,1000,10,25
1,-15.4,7.6665e-12,1000,10,25
1,-15.2,7.6665e-12,1000,10,25
1,-15.0,7.6665e-12,1000,10,25
1,-14.8,7.6665e-12,1000,10,25
1,-14.6,7.6665e-12,1000,10,25
1,-14.4,7.6665e-12,1000,10,25
1,-14.2,7.6665e-12,1000,10,25
1,-14.0,7.6665e-12,1000,10,25
1,-13.8,7.6665e-12,1000,10,25
1,-13.6,7.6665e-12,1000,10,25
1,-13.4,7.6665e-12,1000,10,25
1,-13.2,7.6665e-12,1000,10,25
1,-13.0,7.6665e-12,1000,10,25
1,-12.8,7.6665e-12,1000,10,25
1,-12.6,7.6665e-12,1000,10,25
1,-12.4,7.6665e-12,1000,10,25
1,-12.2,7.6665e-12,1000,10,25
1,-12.0,7.6665e-12,1000,10,25
1,-11.8,7.6665e-12,1000,10,25
1,-11.6,7.6665e-12,1000,10,25
1,-11.4,7.6665e-12,1000,10,25
1,-11.2,7.6665e-12,1000,10,25
1,-11.0,7.6665e-12,1000,10,25
1,-10.8,7.6665e-12,1000,10,25
1,-10.6,7.6665e-12,1000,10,25
1,-10.4,7.6665e-12,1000,10,25
1,-10.2,7.6665e-12,1000,10,25
1,-10.0,7.6665e-12,1000,10,25
1,-9.8,7.6665e-12,1000,10,25
1,-9.6,7.6665e-12,1000,10,25
1,-9.4,7.6665e-12,1000,10,25
1,-9.2,7.6665e-12,1000,10,25
1,-9.0,7.6665e-12,1000,10,25
1,-8.8,7.6665e-12,1000,10,25
1,-8.6,7.6665e-12,1000,10,25
1,-8.4,7.6665e-12,1000,10,25
1,-8.2,7.6665e-12,1000,10,25
1,-8.0,7.6665e-12,1000,10,25
1,-7.8,7.6665e-12,1000,10,25
1,-7.6,7.6665e-12,1000,10,25
1,-7.4,7.6665e-12,1000,10,25
1,-7.2,7.6665e-12,1000,10,25
1,-7.0,7.6665e-12,1000,10,25
1,-6.8,7.6665e-12,1000,10,25
1,-6.6,7.6665e-12,1000,10,25
1,-6.4,7.6665e-12,1000,10,25
1,-6.2,7.6665e-12,1000,10,25
1,-6.0,7.6665e-12,1000,10,25
1,-5.8,7.6665e-12,1000,10,25
1,-5.6,7.6665e-12,1000,10,25
1,-5.4,7.6665e-12,1000,10,25
1,-5.2,7.6665e-12,1000,10,25
1,-5.0,7.6665e-12,1000,10,25
1,-4.8,7.6665e-12,1000,10,25
1,-4.6,7.6665e-12,1000,10,25
1,-4.4,7.6665e-12,1000,10,25
1,-4.2,7.6665e-12,1000,10,25
1,-4.0,7.6665e-12,1000,10,25
1,-3.8,7.6665e-12,1000,10,25
1,-3.6,7.6665e-12,1000,10,25
1,-3.4,7.6665e-12,1000,10,25
1,-3.2,7.6665e-12,1000,10,25
1,-3.0,7.6665e-12,1000,10,25
1,-2.8,7.6665e-12,1000,10,25
1,-2.6,7.6665e-12,1000,10,25
1,-2.4,7.6665e-12,1000,10,25
1,-2.2,7.6665e-12,1000,10,25
1,-2.0,7.6665e-12,1000,10,25
1,-1.8,7.6665e-12,1000,10,25
1,-1.6,7.6665e-12,1000,10,25
1,-1.4,7.6665e-12,1000,10,25
1,-1.2,7.6665e-12,1000,10,25
1,-1.0,7.6665e-12,1000,10,25
1,-0.8,7.6668e-12,1000,10,25
1,-0.6,7.6724e-12,1000,10,25
1,-0.4,7.7816e-12,1000,10,25
1,-0.2,9.9261e-12,1000,10,25
1,-3.7581e-14,5.2558e-11,1000,10,25
1,0.2,9.0893e-10,1000,10,25
1,0.4,1.7905e-08,1000,10,25
1,0.6,2.729e-07,1000,10,25
1,0.8,1.4884e-06,1000,10,25
1,1.0,3.6712e-06,1000,10,25
