Vds,Vgs,Ids,W,L,T
0.1,-20.0,4.7123e-14,50,5,0
0.1,-19.8,4.7123e-14,50,5,0
0.1,-19.6,4.7123e-14,50,5,0
0.1,-19.4,4.7123e-14,50,5,0
0.1,-19.2,4.7123e-14,50,5,0
0.1,-19.0,4.7123e-14,50,5,0
0.1,-18.8,4.7123e-14,50,5,0
0.1,-18.6,4.7123e-14,50,5,0
0.1,-18.4,4.7123e-14,50,5,0
0.1,-18.2,4.7123e-14,50,5,0
0.1,-18.0,4.7123e-14,50,5,0
0.1,-17.8,4.7123e-14,50,5,0
0.1,-17.6,4.7123e-14,50,5,0
0.1,-17.4,4.7123e-14,50,5,0
0.1,-17.2,4.7123e-14,50,5,0
0.1,-17.0,4.7123e-14,50,5,0
0.1,-16.8,4.7123e-14,50,5,0
0.1,-16.6,4.7123e-14,50,5,0
0.1,-16.4,4.7123e-14,50,5,0
0.1,-16.2,4.7123e-14,50,5,0
0.1,-16.0,4.7123e-14,50,5,0
0.1,-15.8,4.7123e-14,50,5,0
0.1,-15.6,4.7123e-14,50,5,0
0.1,-15.4,4.7123e-14,50,5,0
0.1,-15.2,4.7123e-14,50,5,0
0.1,-15.0,4.7123e-14,50,5,0
0.1,-14.8,4.7123e-14,50,5,0
0.1,-14.6,4.7123e-14,50,5,0
0.1,-14.4,4.7123e-14,50,5,0
0.1,-14.2,4.7123e-14,50,5,0
0.1,-14.0,4.7123e-14,50,5,0
0.1,-13.8,4.7123e-14,50,5,0
0.1,-13.6,4.7123e-14,50,5,0
0.1,-13.4,4.7123e-14,50,5,0
0.1,-13.2,4.7123e-14,50,5,0
0.1,-13.0,4.7123e-14,50,5,0
0.1,-12.8,4.7123e-14,50,5,0
0.1,-12.6,4.7123e-14,50,5,0
0.1,-12.4,4.7123e-14,50,5,0
0.1,-12.2,4.7123e-14,50,5,0
0.1,-12.0,4.7123e-14,50,5,0
0.1,-11.8,4.7123e-14,50,5,0
0.1,-11.6,4.7123e-14,50,5,0
0.1,-11.4,4.7123e-14,50,5,0
0.1,-11.2,4.7123e-14,50,5,0
0.1,-11.0,4.7123e-14,50,5,0
0.1,-10.8,4.7123e-14,50,5,0
0.1,-10.6,4.7123e-14,50,5,0
0.1,-10.4,4.7123e-14,50,5,0
0.1,-10.2,4.7123e-14,50,5,0
0.1,-10.0,4.7123e-14,50,5,0
0.1,-9.8,4.7123e-14,50,5,0
0.1,-9.6,4.7123e-14,50,5,0
0.1,-9.4,4.7123e-14,50,5,0
0.1,-9.2,4.7123e-14,50,5,0
0.1,-9.0,4.7123e-14,50,5,0
0.1,-8.8,4.7123e-14,50,5,0
0.1,-8.6,4.7123e-14,50,5,0
0.1,-8.4,4.7123e-14,50,5,0
0.1,-8.2,4.7123e-14,50,5,0
0.1,-8.0,4.7123e-14,50,5,0
0.1,-7.8,4.7123e-14,50,5,0
0.1,-7.6,4.7123e-14,50,5,0
0.1,-7.4,4.7123e-14,50,5,0
0.1,-7.2,4.7123e-14,50,5,0
0.1,-7.0,4.7123e-14,50,5,0
0.1,-6.8,4.7123e-14,50,5,0
0.1,-6.6,4.7123e-14,50,5,0
0.1,-6.4,4.7123e-14,50,5,0
0.1,-6.2,4.7123e-14,50,5,0
0.1,-6.0,4.7123e-14,50,5,0
0.1,-5.8,4.7123e-14,50,5,0
0.1,-5.6,4.7123e-14,50,5,0
0.1,-5.4,4.7123e-14,50,5,0
0.1,-5.2,4.7123e-14,50,5,0
0.1,-5.0,4.7123e-14,50,5,0
0.1,-4.8,4.7123e-14,50,5,0
0.1,-4.6,4.7123e-14,50,5,0
0.1,-4.4,4.7123e-14,50,5,0
0.1,-4.2,4.7123e-14,50,5,0
0.1,-4.0,4.7123e-14,50,5,0
0.1,-3.8,4.7123e-14,50,5,0
0.1,-3.6,4.7123e-14,50,5,0
0.1,-3.4,4.7123e-14,50,5,0
0.1,-3.2,4.7123e-14,50,5,0
0.1,-3.0,4.7123e-14,50,5,0
0.1,-2.8,4.7123e-14,50,5,0
0.1,-2.6,4.7123e-14,50,5,0
0.1,-2.4,4.7123e-14,50,5,0
0.1,-2.2,4.7123e-14,50,5,0
0.1,-2.0,4.7123e-14,50,5,0
0.1,-1.8,4.7123e-14,50,5,0
0.1,-1.6,4.7123e-14,50,5,0
0.1,-1.4,4.7123e-14,50,5,0
0.1,-1.2,4.7123e-14,50,5,0
0.1,-1.0,4.7125e-14,50,5,0
0.1,-0.8,4.7157e-14,50,5,0
0.1,-0.6,4.789e-14,50,5,0
0.1,-0.4,6.4428e-14,50,5,0
0.1,-0.2,4.3822e-13,50,5,0
0.1,-3.7581e-14,8.8961e-12,50,5,0
0.1,0.2,1.9885e-10,50,5,0
0.1,0.4,3.8349e-09,50,5,0
0.1,0.6,2.8111e-08,50,5,0
0.1,0.8,7.2344e-08,50,5,0
0.1,1.0,1.2779e-07,50,5,0
0.1,1.2,1.9445e-07,50,5,0
0.1,1.4,2.731e-07,50,5,0
0.1,1.6,3.6425e-07,50,5,0
0.1,1.8,4.6811e-07,50,5,0
0.1,2.0,5.8461e-07,50,5,0
0.1,2.2,7.1352e-07,50,5,0
0.1,2.4,8.5451e-07,50,5,0
0.1,2.6,1.0071e-06,50,5,0
0.1,2.8,1.1709e-06,50,5,0
0.1,3.0,1.3454e-06,50,5,0
0.1,3.2,1.5301e-06,50,5,0
0.1,3.4,1.7244e-06,50,5,0
0.1,3.6,1.9279e-06,50,5,0
0.1,3.8,2.14e-06,50,5,0
0.1,4.0,2.3603e-06,50,5,0
0.1,4.2,2.5884e-06,50,5,0
0.1,4.4,2.8237e-06,50,5,0
0.1,4.6,3.0658e-06,50,5,0
0.1,4.8,3.3143e-06,50,5,0
0.1,5.0,3.5687e-06,50,5,0
0.1,5.2,3.8288e-06,50,5,0
0.1,5.4,4.094e-06,50,5,0
0.1,5.6,4.364e-06,50,5,0
0.1,5.8,4.6384e-06,50,5,0
0.1,6.0,4.917e-06,50,5,0
0.1,6.2,5.1993e-06,50,5,0
0.1,6.4,5.485e-06,50,5,0
0.1,6.6,5.7738e-06,50,5,0
0.1,6.8,6.0655e-06,50,5,0
0.1,7.0,6.3597e-06,50,5,0
0.1,7.2,6.6562e-06,50,5,0
0.1,7.4,6.9547e-06,50,5,0
0.1,7.6,7.255e-06,50,5,0
0.1,7.8,7.5568e-06,50,5,0
0.1,8.0,7.86e-06,50,5,0
0.1,8.2,8.1643e-06,50,5,0
0.1,8.4,8.4696e-06,50,5,0
0.1,8.6,8.7756e-06,50,5,0
0.1,8.8,9.0822e-06,50,5,0
0.1,9.0,9.3892e-06,50,5,0
0.1,9.2,9.6966e-06,50,5,0
0.1,9.4,1.0004e-05,50,5,0
0.1,9.6,1.0312e-05,50,5,0
0.1,9.8,1.0619e-05,50,5,0
0.1,10.0,1.0926e-05,50,5,0
0.1,10.2,1.1233e-05,50,5,0
0.1,10.4,1.1539e-05,50,5,0
0.1,10.6,1.1845e-05,50,5,0
0.1,10.8,1.215e-05,50,5,0
0.1,11.0,1.2455e-05,50,5,0
0.1,11.2,1.2759e-05,50,5,0
0.1,11.4,1.3062e-05,50,5,0
0.1,11.6,1.3364e-05,50,5,0
0.1,11.8,1.3665e-05,50,5,0
0.1,12.0,1.3965e-05,50,5,0
0.1,12.2,1.4264e-05,50,5,0
0.1,12.4,1.4562e-05,50,5,0
0.1,12.6,1.4859e-05,50,5,0
0.1,12.8,1.5154e-05,50,5,0
0.1,13.0,1.5449e-05,50,5,0
0.1,13.2,1.5742e-05,50,5,0
0.1,13.4,1.6034e-05,50,5,0
0.1,13.6,1.6324e-05,50,5,0
0.1,13.8,1.6614e-05,50,5,0
0.1,14.0,1.6901e-05,50,5,0
0.1,14.2,1.7188e-05,50,5,0
0.1,14.4,1.7473e-05,50,5,0
0.1,14.6,1.7757e-05,50,5,0
0.1,14.8,1.8039e-05,50,5,0
0.1,15.0,1.832e-05,50,5,0
0.1,15.2,1.8599e-05,50,5,0
0.1,15.4,1.8877e-05,50,5,0
0.1,15.6,1.9153e-05,50,5,0
0.1,15.8,1.9428e-05,50,5,0
0.1,16.0,1.9701e-05,50,5,0
0.1,16.2,1.9973e-05,50,5,0
0.1,16.4,2.0244e-05,50,5,0
0.1,16.6,2.0513e-05,50,5,0
0.1,16.8,2.078e-05,50,5,0
0.1,17.0,2.1046e-05,50,5,0
0.1,17.2,2.131e-05,50,5,0
0.1,17.4,2.1573e-05,50,5,0
0.1,17.6,2.1835e-05,50,5,0
0.1,17.8,2.2094e-05,50,5,0
0.1,18.0,2.2353e-05,50,5,0
0.1,18.2,2.261e-05,50,5,0
0.1,18.4,2.2865e-05,50,5,0
0.1,18.6,2.3119e-05,50,5,0
0.1,18.8,2.3371e-05,50,5,0
0.1,19.0,2.3622e-05,50,5,0
0.1,19.2,2.3872e-05,50,5,0
0.1,19.4,2.412e-05,50,5,0
0.1,19.6,2.4366e-05,50,5,0
0.1,19.8,2.4611e-05,50,5,0
0.1,20.0,2.4855e-05,50,5,0
1,-20.0,4.7807e-14,50,5,0
1,-19.8,4.7807e-14,50,5,0
1,-19.6,4.7807e-14,50,5,0
1,-19.4,4.7807e-14,50,5,0
1,-19.2,4.7807e-14,50,5,0
1,-19.0,4.7807e-14,50,5,0
1,-18.8,4.7807e-14,50,5,0
1,-18.6,4.7807e-14,50,5,0
1,-18.4,4.7807e-14,50,5,0
1,-18.2,4.7807e-14,50,5,0
1,-18.0,4.7807e-14,50,5,0
1,-17.8,4.7807e-14,50,5,0
1,-17.6,4.7807e-14,50,5,0
1,-17.4,4.7807e-14,50,5,0
1,-17.2,4.7807e-14,50,5,0
1,-17.0,4.7807e-14,50,5,0
1,-16.8,4.7807e-14,50,5,0
1,-16.6,4.7807e-14,50,5,0
1,-16.4,4.7807e-14,50,5,0
1,-16.2,4.7807e-14,50,5,0
1,-16.0,4.7807e-14,50,5,0
1,-15.8,4.7807e-14,50,5,0
1,-15.6,4.7807e-14,50,5,0
1,-15.4,4.7807e-14,50,5,0
1,-15.2,4.7807e-14,50,5,0
1,-15.0,4.7807e-14,50,5,0
1,-14.8,4.7807e-14,50,5,0
1,-14.6,4.7807e-14,50,5,0
1,-14.4,4.7807e-14,50,5,0
1,-14.2,4.7807e-14,50,5,0
1,-14.0,4.7807e-14,50,5,0
1,-13.8,4.7807e-14,50,5,0
1,-13.6,4.7807e-14,50,5,0
1,-13.4,4.7807e-14,50,5,0
1,-13.2,4.7807e-14,50,5,0
1,-13.0,4.7807e-14,50,5,0
1,-12.8,4.7807e-14,50,5,0
1,-12.6,4.7807e-14,50,5,0
1,-12.4,4.7807e-14,50,5,0
1,-12.2,4.7807e-14,50,5,0
1,-12.0,4.7807e-14,50,5,0
1,-11.8,4.7807e-14,50,5,0
1,-11.6,4.7807e-14,50,5,0
1,-11.4,4.7807e-14,50,5,0
1,-11.2,4.7807e-14,50,5,0
1,-11.0,4.7807e-14,50,5,0
1,-10.8,4.7807e-14,50,5,0
1,-10.6,4.7807e-14,50,5,0
1,-10.4,4.7807e-14,50,5,0
1,-10.2,4.7807e-14,50,5,0
1,-10.0,4.7807e-14,50,5,0
1,-9.8,4.7807e-14,50,5,0
1,-9.6,4.7807e-14,50,5,0
1,-9.4,4.7807e-14,50,5,0
1,-9.2,4.7807e-14,50,5,0
1,-9.0,4.7807e-14,50,5,0
1,-8.8,4.7807e-14,50,5,0
1,-8.6,4.7807e-14,50,5,0
1,-8.4,4.7807e-14,50,5,0
1,-8.2,4.7807e-14,50,5,0
1,-8.0,4.7807e-14,50,5,0
1,-7.8,4.7807e-14,50,5,0
1,-7.6,4.7807e-14,50,5,0
1,-7.4,4.7807e-14,50,5,0
1,-7.2,4.7807e-14,50,5,0
1,-7.0,4.7807e-14,50,5,0
1,-6.8,4.7807e-14,50,5,0
1,-6.6,4.7807e-14,50,5,0
1,-6.4,4.7807e-14,50,5,0
1,-6.2,4.7807e-14,50,5,0
1,-6.0,4.7807e-14,50,5,0
